,Name,Accepts Cryptocurrency,All Day Breakfast,Available for Functions,BYO,BYO Cake,BYO Food,Beer,Beer Tasting,Breakfast,Brunch,Buffet,Category 1,Category 2,Catering Available,Corkage Fee Charged,Cost,Craft Beer,Cuisine 1,Cuisine 2,Cuisine 3,Cuisine 4,Cuisine 5,Dairy Free,Degustation,Delivery Only,Desserts and Bakes,Drive Thru,Entry Fee,FODMAP Friendly,Farm-to-Table,Feed Me Menu,Free Parking,Full Bar Available,Garden,Gastro Pub,Gin Tasting,Gluten Free Options,Group Bookings Available,Group Meal,High Tea,Home Delivery,Indoor Seating,Izakaya,Kaiseki,Kid Friendly,Known For,Kosher,Live Entertainment,Live Music,Live Sports Screening,Location 1,Location 2,Location 3,Location 4,Location 5,Lunch Menu,Luxury Dining,Natural Wine,Nightlife,No Alcohol Available,Number of Blogs,Number of Photos,Number of Reviews,Omakase Available,Open 24/7,Outdoor Seating,Payments,Pet Friendly,Pram Friendly,Pre-Theatre Menu,Rating,Restricted Entry,Rooftop,Sake,Seating Not Available,Serves Alcohol,Serves Cocktails,Serves Halal,Set Menu,Shared Plates,Shisha,Smoking Area,Soju,Split Bills,Sports Bar,Sushi Train,Table Reservation Not Required,Table booking for Groups,Table booking not available,Table booking recommended,Table reservation required,Takeaway Available,Takeaway Only,Total Opening Hours (Weekly),Vegan Options,Vegetarian Friendly,Waterfront,Wheelchair Accessible,Whisky Tasting,Wifi,Wine,Wine Cellar,Wine Tasting,Wine and Beer,VADER Score (Compound),TextBlob Score,TextBlob Score (Categorical)
22,Shou Sumiyaki,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Bar,Not specified,Not specified,75.0,True,Japanese,Japanese BBQ,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,"Smoke-free Japanese charcoal grill with premium, high quality Wagyu beef and seafood",Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,CBD,Little Bourke Street,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,22.0,761.0,1101.0,Not specified,Not specified,Not specified,Cash and Cards accepted,Not specified,Not specified,Not specified,4.5,Not specified,Not specified,True,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,36.5,Not specified,True,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.7191649797570846,0.34287528046459237,Positive
23,Patricia Coffee Brewers,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Café,Not specified,Not specified,Not specified,15.0,Not specified,Coffee and Tea,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,In-demand take away coffee in a renovated classic Melbourne building,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,CBD,Little Bourke Street,Not specified,Not specified,Not specified,Not specified,Not specified,True,39.0,287.0,1062.0,Not specified,Not specified,True,"Cash,Cards and EFTPOS accepted",Not specified,Not specified,Not specified,4.8,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,45.0,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.87098125,0.27484777280181694,Positive
24,Minh Minh Saigon Soul,Not specified,Not specified,True,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,60.0,Not specified,Asian,Vietnamese,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,True,True,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Inner East,Richmond,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,8.0,220.0,335.0,Not specified,Not specified,Not specified,"Cash,Cards and EFTPOS accepted",Not specified,Not specified,Not specified,4.5,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,True,Not specified,41.5,True,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.91801875,0.2821399583349754,Positive
25,Osteria Ilaria,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,230.0,Not specified,Italian,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,An intimate wine bar & Italian eatery from the team behind Tip 00,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,CBD,Little Bourke Street,Not specified,True,Not specified,Not specified,Not specified,Not specified,9.0,433.0,357.0,Not specified,Not specified,Not specified,Cash and Cards accepted,Not specified,Not specified,Not specified,4.6,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,66.0,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.8555060606060602,0.3336819071998969,Positive
26,Pastuso,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,125.0,Not specified,Latin American,Peruvian,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,True,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,"A modern Peruvian grill, cevicheria and pisco bar taking you on exciting journey of discovery through the coast, Andes and the jungle of Peru’s beautiful food and culture",Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,CBD,ACDC Lane,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,40.0,917.0,887.0,Not specified,Not specified,Not specified,Cash and Cards accepted,Not specified,Not specified,Not specified,4.5,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,77.0,Not specified,True,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,0.8427045454545457,0.32123240231441813,Positive
27,Woodo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,90.0,Not specified,Korean BBQ,Korean,Asian,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,CBD,King Street,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,3.0,325.0,317.0,Not specified,Not specified,Not specified,"Cash,Cards and EFTPOS accepted",Not specified,Not specified,Not specified,4.2,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,True,Not specified,33.0,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,0.8756250000000001,0.2742731227106227,Positive
28,Shoya Nouvelle Wafu Cuisine,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,140.0,Not specified,Japanese,Sushi,Japanese BBQ,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Six split levels offering the best of modern and traditional Japanese fine dining,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,CBD,Market Lane,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,54.0,1228.0,1460.0,Not specified,Not specified,Not specified,Cash and Cards accepted,Not specified,Not specified,Not specified,4.6,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,32.5,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.7249951945080099,0.2923749235966589,Positive
29,Ecco,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,100.0,Not specified,Italian,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,True,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Inner South,South Yarra,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,2.0,126.0,201.0,Not specified,Not specified,True,Cash and Cards accepted,Not specified,Not specified,Not specified,4.2,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,True,Not specified,34.0,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.86435,0.3283109528533636,Positive
30,Sea Salt,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,35.0,Not specified,Fish and Chips,Sushi,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Inner North,Carlton,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,8.0,155.0,253.0,Not specified,Not specified,True,Cash and Cards accepted,Not specified,Not specified,Not specified,4.0,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,73.5,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,0.594275,0.128270202020202,Negative
31,Maney's Dumpling,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,40.0,Not specified,Dumplings,Chinese,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Quick service and value for money food,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Northern Suburb,Bundoora,"Bundoora Square Shopping Centre, Bundoora",Not specified,Not specified,Not specified,Not specified,Not specified,6.0,59.0,373.0,Not specified,Not specified,Not specified,Cash and Cards accepted,Not specified,Not specified,Not specified,3.8,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,True,Not specified,61.0,Not specified,True,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,True,0.81,0.13333333333333333,Negative
32,Clement Coffee Roasters,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Café,Not specified,Not specified,Not specified,15.0,Not specified,Coffee and Tea,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Inner South,South Melbourne,"South Melbourne Central, South Melbourne",Not specified,Not specified,Not specified,Not specified,True,14.0,130.0,281.0,Not specified,Not specified,True,Cash and Cards accepted,Not specified,Not specified,Not specified,4.1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,70.0,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.5729540229885057,0.23894764263539767,Positive
33,Cultural Commons,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,80.0,Not specified,Burger,Modern Australian,BBQ,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,True,Not specified,Not specified,True,"Trendy and spacious, serving one of the best burgers in town",Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Eastern Suburb,Springvale,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,11.0,389.0,386.0,Not specified,Not specified,True,Cash and Cards accepted,Not specified,Not specified,Not specified,4.2,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,77.0,Not specified,True,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.6922333333333333,0.2575605680868839,Positive
34,French Fix,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Café,Not specified,True,Not specified,,Not specified,Coffee and Tea,French,Sandwich,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,True,Australia,Melbourne,CBD,Queen Street,Not specified,Not specified,Not specified,Not specified,True,True,,9.0,33.0,Not specified,Not specified,True,"Cash,Cards and EFTPOS accepted",Not specified,Not specified,Not specified,4.0,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,45.0,Not specified,True,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.9212,0.4175,Positive
35,Hem27,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,65.0,Not specified,Vietnamese,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,True,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Northern Suburb,Ascot Vale,"Showgrounds Village, Flemington",Not specified,Not specified,Not specified,Not specified,True,2.0,176.0,130.0,Not specified,Not specified,True,Cash and Cards accepted,Not specified,Not specified,Not specified,4.1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,76.0,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.5773543859649123,0.19016151403019643,Positive
36,Mabel Jones,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,True,Not specified,Café,Not specified,Not specified,Not specified,45.0,Not specified,Coffee and Tea,Cafe Food,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Northern Suburb,Greensborough,Not specified,Not specified,Not specified,Not specified,Not specified,True,3.0,188.0,189.0,Not specified,Not specified,Not specified,Cash and Cards accepted,Not specified,True,Not specified,4.1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,56.0,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.7902043010752692,0.30728362539672777,Positive
37,Two Bob Snob,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Café,Not specified,Not specified,Not specified,45.0,Not specified,Coffee and Tea,Cafe Food,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,filtered coffee with new flavours rotating frequently,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Southern Suburb,Cheltenham,Not specified,Not specified,Not specified,Not specified,Not specified,True,,61.0,71.0,Not specified,Not specified,True,Cash and Cards accepted,Not specified,Not specified,Not specified,4.2,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,71.0,True,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.51552,0.25353637566137566,Positive
38,Rose Milk Food Store,Not specified,True,True,Not specified,Not specified,Not specified,Not specified,Not specified,True,True,Not specified,Café,Not specified,Not specified,Not specified,50.0,Not specified,Cafe Food,Coffee and Tea,European,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Northern Suburb,Essendon,Not specified,Not specified,Not specified,Not specified,Not specified,True,1.0,44.0,48.0,Not specified,Not specified,True,Cash and Cards accepted,True,Not specified,Not specified,4.1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,56.0,True,True,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,0.7972529411764705,0.3431184442277708,Positive
39,Penang Village,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,50.0,Not specified,Malaysian,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Eastern Suburb,Donvale,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,,49.0,48.0,Not specified,Not specified,Not specified,Cash and Cards accepted,Not specified,Not specified,Not specified,4.0,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,True,Not specified,35.0,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.9849,0.38595238095238105,Positive
40,Sloane Ranger,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,True,Not specified,Café,Not specified,Not specified,Not specified,40.0,Not specified,Coffee and Tea,Cafe Food,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Inner East,Richmond,Not specified,Not specified,Not specified,Not specified,Not specified,True,2.0,76.0,60.0,Not specified,Not specified,Not specified,"Cash,Cards and EFTPOS accepted",True,Not specified,Not specified,4.0,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,54.0,True,True,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.8266999999999999,0.3148692810457516,Positive
41,Salad Sisters,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Café,Not specified,Not specified,Not specified,45.0,Not specified,Healthy Food,Salad,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Southern Suburb,Malvern,Not specified,Not specified,Not specified,Not specified,Not specified,True,1.0,41.0,36.0,Not specified,Not specified,Not specified,Cash and Cards accepted,Not specified,Not specified,Not specified,4.2,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,61.0,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.9296000000000001,0.3711353456068396,Positive
42,Pho Hung,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,50.0,Not specified,Vietnamese,Pho,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,An unassuming Vietnamese eatery dedicated to providing belly warming good old Pho,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Northern Suburb,Preston,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,16.0,178.0,719.0,Not specified,Not specified,Not specified,Cash and Cards accepted,Not specified,Not specified,Not specified,4.1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,87.0,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.49140136612021834,0.23973616853504734,Positive
43,Billy's Paddock,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,True,Not specified,Casual Dining,Café,Not specified,Not specified,105.0,Not specified,Coffee and Tea,Cafe Food,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Western Suburb,Caroline Springs,Not specified,True,Not specified,Not specified,Not specified,Not specified,,80.0,77.0,Not specified,Not specified,True,Cash and Cards accepted,Not specified,Not specified,Not specified,3.6,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,98.0,Not specified,True,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.6621818181818183,0.21117467547129534,Positive
44,Hero Sandwich House,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Café,Not specified,Not specified,Not specified,40.0,Not specified,Sandwich,Coffee and Tea,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,"The two kiwi duo have expanded their operation, sharing their no nonsense, no pretension - just moreish sandwiches with their neighbours across the water",Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Inner East,Richmond,Not specified,Not specified,Not specified,Not specified,Not specified,True,,14.0,7.0,Not specified,Not specified,Not specified,Cash and Cards accepted,Not specified,Not specified,Not specified,3.6,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,48.0,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.5117,0.06772530499803228,Negative
45,Max Brenner,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Dessert Parlour,Café,Not specified,Not specified,40.0,Not specified,Desserts,Coffee and Tea,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,A chocolate bar dedicated to a holistic sensual experience of chocolate indulgence,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,CBD,Little Lonsdale Street,"QV Centre, CBD",Not specified,Not specified,Not specified,Not specified,True,15.0,328.0,580.0,Not specified,Not specified,True,Cash and Cards accepted,Not specified,Not specified,Not specified,4.0,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,101.5,Not specified,True,Not specified,True,Not specified,True,Not specified,Not specified,Not specified,Not specified,0.725,0.2594120645943563,Positive
